4,0.7,0.5,0,0,0,0
4.5,0.75,0.5,0,0,0,0
5,0.8,0.5,0,0,0,0
5.5,0.5,0,0,0,0,0
6,1,0.75,0.5,0,0,0
7,1,0.75,0.5,0,0,0
8,1.25,1,0.75,0.5,0,0
9,1.25,1,0.75,0.5,0,0
10,1.5,1.25,1,0.75,0.5,0
11,1.5,1,0.75,0.5,0,0
12,1.75,1.5,1.25,1,0.75,0.5
14,2,1.5,1.25,1,0.75,0.5
15,1.5,1,0,0,0,0
16,2,1.5,1,0.75,0.5,0
17,1.5,1,0,0,0,0
18,2.5,2,1.5,1,0.75,0.5
20,2.5,2,1.5,1,0.75,0.5
22,2.5,2,1.5,1,0.75,0.5
24,3,2,1.5,1,0.75,0
25,2,1.5,1,0,0,0
26,1.5,0,0,0,0,0
27,3,2,1.5,1,0.75,0
28,2,1.5,1,0,0,0
30,3.5,3,2,1.5,1,0.75
32,2,1.5,0,0,0,0
33,3.5,3,2,1.5,1,0.75
35,1.5,0,0,0,0,0
36,4,3,2,1.5,1,0
38,1.5,0,0,0,0,0
39,4,3,2,1.5,1,0
40,3,2,1.5,0,0,0
42,4.5,4,3,2,1.5,1
45,4.5,4,3,2,1.5,1
48,5,4,3,2,1.5,1
50,3,2,1.5,0,0,0
52,5,4,3,2,1.5,1
55,4,3,2,1.5,0,0
56,5.5,4,3,2,1.5,1
58,4,3,2,1.5,0,0
60,5.5,4,3,2,1.5,1
62,4,3,2,1.5,0,0
64,6,4,3,2,1.5,1
65,4,3,2,1.5,0,0
68,6,4,3,2,1.5,1
70,6,4,3,2,1.5,0
72,6,4,3,2,1.5,1
75,4,3,2,1.5,0,0
76,6,4,3,2,1.5,1
78,2,0,0,0,0,0
80,6,4,3,2,1.5,1
82,2,0,0,0,0,0
85,6,4,3,2,1.5,0
90,6,4,3,2,1.5,0
95,6,4,3,2,1.5,0
100,6,4,3,2,1.5,0
105,6,4,3,2,1.5,0
110,6,4,3,2,1.5,0
115,6,4,3,2,1.5,0
120,6,4,3,2,1.5,0
125,6,4,3,2,1.5,0
130,6,4,3,2,1.5,0
135,6,4,3,2,1.5,0
140,6,4,3,2,1.5,0
145,6,4,3,2,1.5,0
150,6,4,3,2,1.5,0
155,6,4,3,2,0,0
160,6,4,3,2,0,0
165,6,4,3,2,0,0
170,6,4,3,2,0,0
175,6,4,3,2,0,0
180,6,4,3,2,0,0
185,6,4,3,2,0,0
190,6,4,3,2,0,0
195,6,4,3,2,0,0
200,6,4,3,2,0,0
205,6,4,3,0,0,0
210,6,4,3,0,0,0
215,6,4,3,0,0,0
220,6,4,3,0,0,0
225,6,4,3,0,0,0
230,6,4,3,0,0,0
235,6,4,3,0,0,0
240,6,4,3,0,0,0
245,6,4,3,0,0,0
250,6,4,3,0,0,0
255,6,4,3,0,0,0
260,6,4,3,0,0,0
265,6,4,3,0,0,0
270,6,4,3,0,0,0
275,6,4,3,0,0,0
280,6,4,3,0,0,0
285,6,4,3,0,0,0
290,6,4,3,0,0,0
295,6,4,3,0,0,0
300,6,4,3,0,0,0
310,6,4,0,0,0,0
320,6,4,0,0,0,0
330,6,4,0,0,0,0
340,6,4,0,0,0,0
350,6,4,0,0,0,0
360,6,4,0,0,0,0
370,6,4,0,0,0,0
380,6,4,0,0,0,0
390,6,4,0,0,0,0
400,6,4,0,0,0,0
410,6,0,0,0,0,0
420,6,0,0,0,0,0
430,6,0,0,0,0,0
440,6,0,0,0,0,0
450,6,0,0,0,0,0
460,6,0,0,0,0,0
470,6,0,0,0,0,0
480,6,0,0,0,0,0
490,6,0,0,0,0,0
500,6,0,0,0,0,0
510,6,0,0,0,0,0
520,6,0,0,0,0,0
530,6,0,0,0,0,0
540,6,0,0,0,0,0
550,6,0,0,0,0,0
560,6,0,0,0,0,0
570,6,0,0,0,0,0
580,6,0,0,0,0,0
590,6,0,0,0,0,0
600,6,0,0,0,0,0
